Threshold,Accuracy,Precision,Recall,F1 Score,ROC AUC,True Negatives,False Positives,False Negatives,True Positives
0.1,0.3416666666666667,0.07600950118764846,0.8421052631578947,0.1394335511982571,0.6793407005057127,173,389,6,32
0.15,0.48333333333333334,0.08536585365853659,0.7368421052631579,0.15300546448087432,0.6793407005057127,262,300,10,28
0.2,0.58,0.0946969696969697,0.6578947368421053,0.16556291390728478,0.6793407005057127,323,239,13,25
0.25,0.6533333333333333,0.10648148148148148,0.6052631578947368,0.18110236220472442,0.6793407005057127,369,193,15,23
0.3,0.7283333333333334,0.13450292397660818,0.6052631578947368,0.22009569377990432,0.6793407005057127,414,148,15,23
0.35,0.7683333333333333,0.1366906474820144,0.5,0.21468926553672316,0.6793407005057127,442,120,19,19
0.4,0.7966666666666666,0.13793103448275862,0.42105263157894735,0.2077922077922078,0.6793407005057127,462,100,22,16
0.45,0.8466666666666667,0.18604651162790697,0.42105263157894735,0.25806451612903225,0.6793407005057127,492,70,22,16
0.5,0.8733333333333333,0.203125,0.34210526315789475,0.2549019607843137,0.6793407005057127,511,51,25,13
0.55,0.8916666666666667,0.2127659574468085,0.2631578947368421,0.23529411764705882,0.6793407005057127,525,37,28,10
0.6,0.9,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.6793407005057127,532,30,30,8
