Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,True Negatives,False Positives,False Negatives,True Positives
Random Forest,0.8733333333333333,0.203125,0.34210526315789475,0.2549019607843137,0.6793407005057127,511,51,25,13
Extra Trees,0.89,0.22,0.2894736842105263,0.25,0.6824311668851846,523,39,27,11
Logistic Regression,0.63,0.1,0.6052631578947368,0.17164179104477612,0.6766716613598053,355,207,15,23
Gradient Boosting,0.9366666666666666,0.5,0.05263157894736842,0.09523809523809523,0.661734407192358,560,2,36,2
